Player Name,Turned Pro,weight (lbs),Birthdate,Favorite_Hand,BackHand,Height (CM),player_name_clean_3first
sergiy-stakhovsky,2003,176,1986-01-06,Right,One-Handed,193.0,stakhovsky ser
tomas-berdych,2002,200,1985-09-17,Right,Two-Handed,196.0,berdych tom
pablo-andujar,2003,176,1986-01-23,Right,Two-Handed,180.0,andujar pab
frank-dancevic,2003,175,1984-09-26,Right,One-Handed,185.0,dancevic fra
nicolas-mahut,2000,181,1982-01-21,Right,One-Handed,191.0,mahut nic
vasek-pospisil,2007,194,1990-06-23,Right,Two-Handed,193.0,pospisil vas
daniel-gimeno-traver,2004,176,1985-08-07,Right,Two-Handed,183.0,traver dan
lucas-pouille,2012,185,1994-02-23,Right,Two-Handed,185.0,pouille luc
andrea-arnaboldi,2006,158,1987-12-27,Left,One-Handed,180.0,arnaboldi and
hiroki-moriya,"
",143,1990-10-16,Right,Two-Handed,168.0,moriya hir
alexander-kudryavtsev,"
",174,1985-10-26,Right,Unknown,183.0,kudryavtsev ale
james-ward,2006,171,1987-02-09,Right,Two-Handed,188.0,ward jam
pierre-hugues-herbert,2010,165,1991-03-18,Right,Two-Handed,188.0,herbert pie
adrian-ungur,2003,161,1985-01-22,Right,One-Handed,178.0,ungur adr
austin-krajicek,2012,175,1990-06-16,Left,Two-Handed,188.0,krajicek aus
richard-gasquet,2002,174,1986-06-18,Right,One-Handed,183.0,gasquet ric
facundo-bagnis,2008,180,1990-02-27,Left,Two-Handed,183.0,bagnis fac
gael-monfils,2004,187,1986-09-01,Right,Two-Handed,193.0,monfils gae
norbert-gombos,2009,187,1990-08-13,Right,Two-Handed,193.0,gombos nor
denis-kudla,2010,175,1992-08-17,Right,Two-Handed,180.0,kudla den
radek-stepanek,1996,167,1978-11-27,Right,Two-Handed,185.0,stepanek rad
yoshihito-nishioka,2014,141,1995-09-27,Left,Two-Handed,170.0,nishioka yos
ryan-harrison,2007,185,1992-05-07,Right,Two-Handed,185.0,harrison rya
steve-darcis,2003,171,1984-03-13,Right,One-Handed,175.0,darcis ste
viktor-troicki,2006,189,1986-02-10,Right,Two-Handed,193.0,troicki vik
nikoloz-basilashvili,2008,174,1992-02-23,Right,Two-Handed,185.0,basilashvili nik
luke-saville,2012,183,1994-01-02,Right,Two-Handed,188.0,saville luk
marin-cilic,2005,196,1988-09-28,Right,Two-Handed,198.0,cilic mar
michal-przysiezny,2001,185,1984-02-16,Right,Unknown,185.0,przysiezny mic
john-isner,2007,238,1985-04-26,Right,Two-Handed,208.0,isner joh
ernests-gulbis,2004,187,1988-08-30,Right,Two-Handed,191.0,gulbis ern
sam-querrey,2006,209,1987-10-07,Right,Two-Handed,198.0,querrey sam
fernando-verdasco,2001,198,1983-11-15,Left,Two-Handed,188.0,verdasco fer
maximo-gonzalez,2002,165,1983-07-20,Right,Two-Handed,173.0,gonzalez max
thiemo-de-bakker,"
",182,1988-09-19,Right,Two-Handed,193.0,bakker thi
stephane-robert,2001,170,1980-05-17,Right,Two-Handed,185.0,robert ste
mikhail-youzhny,1999,160,1982-06-25,Right,One-Handed,183.0,youzhny mik
alexander-zverev,2013,198,1997-04-20,Right,Two-Handed,198.0,zverev ale
alejandro-falla,2000,169,1983-11-14,Left,Two-Handed,185.0,falla ale
albert-montanes,1999,155,1980-11-26,Right,One-Handed,175.0,montanes alb
marsel-ilhan,2006,176,1987-06-11,Right,Two-Handed,191.0,ilhan mar
tim-smyczek,2006,160,1987-12-30,Right,Two-Handed,175.0,smyczek tim
jo-wilfried-tsonga,2004,205,1985-04-17,Right,Two-Handed,188.0,tsonga jo
philipp-kohlschreiber,2001,154,1983-10-16,Right,One-Handed,178.0,kohlschreiber phi
gilles-simon,2002,154,1984-12-27,Right,Two-Handed,183.0,simon gil
andre-ghem,2003,190,1982-05-29,Right,Unknown,193.0,ghem and
andrey-golubev,2005,169,1987-07-22,Right,One-Handed,180.0,golubev and
rajeev-ram,2004,185,1984-03-18,Right,One-Handed,193.0,ram raj
james-duckworth,2010,181,1992-01-21,Right,Two-Handed,183.0,duckworth jam
lukasz-kubot,2002,194,1982-05-16,Right,Two-Handed,191.0,kubot luk
ricardas-berankis,2007,170,1990-06-21,Right,Two-Handed,175.0,berankis ric
ivan-dodig,2004,179,1985-01-02,Right,Two-Handed,183.0,dodig iva
potito-starace,2001,185,1981-07-14,Right,Two-Handed,188.0,starace pot
adrian-mannarino,2004,174,1988-06-29,Left,Two-Handed,180.0,mannarino adr
illya-marchenko,2006,191,1987-09-08,Right,Two-Handed,185.0,marchenko ill
dominic-thiem,2011,174,1993-09-03,Right,One-Handed,185.0,thiem dom
nicolas-almagro,2003,190,1985-08-21,Right,One-Handed,183.0,almagro nic
fabio-fognini,2004,174,1987-05-24,Right,Two-Handed,178.0,fognini fab
marinko-matosevic,2003,190,1985-08-08,Right,Two-Handed,193.0,matosevic mar
simone-bolelli,2003,182,1985-10-08,Right,One-Handed,183.0,bolelli sim
novak-djokovic,2003,170,1987-05-22,Right,Two-Handed,188.0,djokovic nov
guido-pella,2007,174,1990-05-17,Left,Two-Handed,183.0,pella gui
dustin-brown,2002,172,1984-12-08,Right,Two-Handed,196.0,brown dus
lukas-rosol,2004,182,1985-07-24,Right,Two-Handed,193.0,rosol luk
alejandro-gonzalez,2006,182,1989-02-07,Right,Two-Handed,191.0,gonzalez ale
blaz-rola,2013,187,1990-10-05,Left,Two-Handed,193.0,rola bla
luca-vanni,"
",207,1985-06-04,Right,Two-Handed,198.0,vanni luc
guido-andreozzi,2010,172,1991-08-05,Right,Two-Handed,183.0,andreozzi gui
martin-klizan,2007,187,1989-07-11,Left,Two-Handed,191.0,klizan mar
horacio-zeballos,2003,185,1985-04-27,Left,One-Handed,188.0,zeballos hor
john-patrick-smith,2012,185,1989-01-24,Left,Two-Handed,188.0,smith joh
lukas-lacko,2005,192,1987-11-03,Right,Two-Handed,188.0,lacko luk
ivo-karlovic,2000,230,1979-02-28,Right,One-Handed,211.0,karlovic ivo
hans-podlipnik-castillo,2005,172,1988-01-09,Right,One-Handed,183.0,castillo han
