url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money,unique_tournament_id
/en/tournaments/adelaide/7308/overview,Adelaide,1990.01.01,32,Outdoor,Hard,"$150,000",adelaide//1990.01.01
/en/tournaments/wellington/354/overview,Wellington,1990.01.01,32,Outdoor,Hard,"$150,000",wellington//1990.01.01
/en/tournaments/sydney/338/overview,Sydney,1990.01.08,32,Outdoor,Hard,"$175,000",sydney//1990.01.08
/en/tournaments/auckland/301/overview,Auckland,1990.01.08,32,Outdoor,Hard,"$150,000",auckland//1990.01.08
/en/tournaments/australian-open/580/overview,Melbourne,1990.01.15,128,Outdoor,Hard,"$1,462,000",melbourne//1990.01.15
/en/tournaments/milan/408/overview,Milan,1990.02.05,32,Indoor,Carpet,"$600,000",milan//1990.02.05
/en/tournaments/san-francisco/424/overview,San Francisco,1990.02.05,32,Indoor,Carpet,"$250,000",san francisco//1990.02.05
/en/tournaments/guaruja/201/overview,Guaruja,1990.02.05,32,Outdoor,Hard,"$150,000",guaruja//1990.02.05
/en/tournaments/brussels/406/overview,Brussels,1990.02.12,32,Indoor,Carpet,"$600,000",brussels//1990.02.12
/en/tournaments/toronto/302/overview,Toronto,1990.02.12,56,Indoor,Carpet,"$1,200,000",toronto//1990.02.12
/en/tournaments/philadelphia/401/overview,Philadelphia,1990.02.19,48,Indoor,Carpet,"$1,000,000",philadelphia//1990.02.19
/en/tournaments/stuttgart/357/overview,Stuttgart,1990.02.19,32,Indoor,Carpet,"$1,000,000",stuttgart//1990.02.19
/en/tournaments/rotterdam/407/overview,Rotterdam,1990.02.26,32,Indoor,Carpet,"$500,000",rotterdam//1990.02.26
/en/tournaments/memphis/402/overview,Memphis,1990.02.26,48,Indoor,Hard,"$250,000",memphis//1990.02.26
/en/tournaments/indian-wells/404/overview,Indian Wells,1990.03.05,56,Outdoor,Hard,"$1,000,000",indian wells//1990.03.05
/en/tournaments/casablanca/360/overview,Casablanca,1990.03.05,32,Outdoor,Clay,"$150,000",casablanca//1990.03.05
/en/tournaments/miami/403/overview,Miami,1990.03.16,96,Outdoor,Hard,"$1,500,000",miami//1990.03.16
/en/tournaments/rio-de-janeiro/215/overview,Rio de Janeiro,1990.04.02,32,Outdoor,Carpet,"$250,000",rio de janeiro//1990.04.02
/en/tournaments/orlando/409/overview,Orlando,1990.04.02,32,Outdoor,Hard,"$250,000",orlando//1990.04.02
/en/tournaments/estoril/468/overview,Estoril,1990.04.02,32,Outdoor,Clay,"$250,000",estoril//1990.04.02
/en/tournaments/tokyo/329/overview,Tokyo,1990.04.09,56,Outdoor,Hard,"$1,000,000",tokyo//1990.04.09
/en/tournaments/barcelona/425/overview,Barcelona,1990.04.09,56,Outdoor,Clay,"$500,000",barcelona//1990.04.09
/en/tournaments/nice/6120/overview,Nice,1990.04.16,32,Outdoor,Clay,"$250,000",nice//1990.04.16
