tournament_name,tournament_date,round,player_1_name,player_2_name,date_added
"Paris, France",2023.10.30,QF,Hubert Hurkacz,Grigor Dimitrov,03-11-2023
"Paris, France",2023.10.30,QF,Stefanos Tsitsipas,Karen Khachanov,03-11-2023
"Paris, France",2023.10.30,QF,Novak Djokovic,Holger Rune,03-11-2023
"Paris, France",2023.10.30,QF,Alex de Minaur,Andrey Rublev,03-11-2023
"Paris, France",2023.10.30,QF,Grigor Dimitrov,Hubert Hurkacz,03-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Terence Atmane,Evgeny Donskoy,03-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Yanaki Milev,Nerman Fatic,03-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Vitaliy Sachko,Altug Celikbilek,03-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Lorenzo Giustino,Illya Marchenko,03-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Ergi Kirkin,Francesco Passaro,03-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Marc-Andrea Huesler,Alexander Erler,03-11-2023
"Metz, France",2023.11.05,Q1,Matteo Martineau,Giovanni Mpetshi Perricard,03-11-2023
"Metz, France",2023.11.05,Q1,Hugo Grenier,Mate Valkusz,03-11-2023
"Metz, France",2023.11.05,Q1,Harold Mayot,Peter Gojowczyk,03-11-2023
"Metz, France",2023.11.05,Q1,Dan Added,Abdullah Shelbayh,03-11-2023
"Paris, France",2023.10.30,SF,Harri Heliovaara,Mate Pavic,04-11-2023
"Paris, France",2023.10.30,SF,Grigor Dimitrov,Stefanos Tsitsipas,04-11-2023
"Paris, France",2023.10.30,SF,Novak Djokovic,Andrey Rublev,04-11-2023
"Paris, France",2023.10.30,SF,Rajeev Ram,Joe Salisbury,04-11-2023
"Metz, France",2023.11.05,Q1,Matteo Martineau,Hugo Nys,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Nerman Fatic,Yanaki Milev,04-11-2023
"Paris, France",2023.10.30,SF,Rohan Bopanna,Matthew Ebden,04-11-2023
"Metz, France",2023.11.05,Q1,Mate Valkusz,Hugo Grenier,04-11-2023
"Metz, France",2023.11.05,Q1,Abdullah Shelbayh,Dan Added,04-11-2023
"Metz, France",2023.11.05,Q1,Gijs Brouwer,Mikalai Haliak,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Illya Marchenko,Lorenzo Giustino,04-11-2023
"Metz, France",2023.11.05,Q2,Mathias Bourgue,Matteo Martineau,04-11-2023
"Metz, France",2023.11.05,Q2,Harold Mayot,Tom Paris,04-11-2023
"Metz, France",2023.11.05,R32,Pierre-Hugues Herbert,Arthur Cazaux,04-11-2023
"Metz, France",2023.11.05,R32,Gregoire Barrere,Yannick Hanfmann,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Francesco Passaro,Ergi Kirkin,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Yanki Erel,Billy Harris,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Nicolas Moreno De Alboran,Alexander Donski,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q2,Vitaliy Sachko,Nerman Fatic,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q2,Terence Atmane,Illya Marchenko,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q2,Marc-Andrea Huesler,Francesco Passaro,04-11-2023
"Paris, France",2023.10.30,F,Rohan Bopanna,Matthew Ebden,04-11-2023
"Paris, France",2023.10.30,F,Novak Djokovic,Grigor Dimitrov,04-11-2023
"Sofia, Bulgaria",2023.11.05,Q1,Billy Harris,Yanki Erel,05-11-2023
"Paris, France",2023.10.30,F,Santiago Gonzalez,Edouard Roger-Vasselin,05-11-2023
