Player Name,Turned Pro,Plays,height,weight (lbs),Birthdate
sergiy-stakhovsky,2003,"Right-Handed,One-HandedBackhand",(193cm),176,(1986.01.06)
tomas-berdych,2002,"Right-Handed,Two-HandedBackhand",(196cm),200,(1985.09.17)
pablo-andujar,2003,"Right-Handed,Two-HandedBackhand",(180cm),176,(1986.01.23)
frank-dancevic,2003,"Right-Handed,One-HandedBackhand",(185cm),175,(1984.09.26)
nicolas-mahut,2000,"Right-Handed,One-HandedBackhand",(191cm),181,(1982.01.21)
vasek-pospisil,2007,"Right-Handed,Two-HandedBackhand",(193cm),194,(1990.06.23)
daniel-gimeno-traver,2004,"Right-Handed,Two-HandedBackhand",(183cm),176,(1985.08.07)
lucas-pouille,2012,"Right-Handed,Two-HandedBackhand",(185cm),185,(1994.02.23)
andrea-arnaboldi,2006,"Left-Handed,One-HandedBackhand",(180cm),158,(1987.12.27)
hiroki-moriya,"
","Right-Handed,Two-HandedBackhand",(168cm),143,(1990.10.16)
alexander-kudryavtsev,"
","Right-Handed,UnknownBackhand",(183cm),174,(1985.10.26)
james-ward,2006,"Right-Handed,Two-HandedBackhand",(188cm),171,(1987.02.09)
pierre-hugues-herbert,2010,"Right-Handed,Two-HandedBackhand",(188cm),165,(1991.03.18)
adrian-ungur,2003,"Right-Handed,One-HandedBackhand",(178cm),161,(1985.01.22)
austin-krajicek,2012,"Left-Handed,Two-HandedBackhand",(188cm),175,(1990.06.16)
richard-gasquet,2002,"Right-Handed,One-HandedBackhand",(183cm),174,(1986.06.18)
facundo-bagnis,2008,"Left-Handed,Two-HandedBackhand",(183cm),180,(1990.02.27)
gael-monfils,2004,"Right-Handed,Two-HandedBackhand",(193cm),187,(1986.09.01)
norbert-gombos,2009,"Right-Handed,Two-HandedBackhand",(193cm),187,(1990.08.13)
denis-kudla,2010,"Right-Handed,Two-HandedBackhand",(180cm),175,(1992.08.17)
radek-stepanek,1996,"Right-Handed,Two-HandedBackhand",(185cm),167,(1978.11.27)
yoshihito-nishioka,2014,"Left-Handed,Two-HandedBackhand",(170cm),141,(1995.09.27)
ryan-harrison,2007,"Right-Handed,Two-HandedBackhand",(185cm),185,(1992.05.07)
steve-darcis,2003,"Right-Handed,One-HandedBackhand",(175cm),171,(1984.03.13)
viktor-troicki,2006,"Right-Handed,Two-HandedBackhand",(193cm),189,(1986.02.10)
nikoloz-basilashvili,2008,"Right-Handed,Two-HandedBackhand",(185cm),174,(1992.02.23)
luke-saville,2012,"Right-Handed,Two-HandedBackhand",(188cm),183,(1994.01.02)
marin-cilic,2005,"Right-Handed,Two-HandedBackhand",(198cm),196,(1988.09.28)
michal-przysiezny,2001,"Right-Handed,UnknownBackhand",(185cm),185,(1984.02.16)
john-isner,2007,"Right-Handed,Two-HandedBackhand",(208cm),238,(1985.04.26)
ernests-gulbis,2004,"Right-Handed,Two-HandedBackhand",(191cm),187,(1988.08.30)
sam-querrey,2006,"Right-Handed,Two-HandedBackhand",(198cm),209,(1987.10.07)
fernando-verdasco,2001,"Left-Handed,Two-HandedBackhand",(188cm),198,(1983.11.15)
maximo-gonzalez,2002,"Right-Handed,Two-HandedBackhand",(173cm),165,(1983.07.20)
thiemo-de-bakker,"
","Right-Handed,Two-HandedBackhand",(193cm),182,(1988.09.19)
stephane-robert,2001,"Right-Handed,Two-HandedBackhand",(185cm),170,(1980.05.17)
mikhail-youzhny,1999,"Right-Handed,One-HandedBackhand",(183cm),160,(1982.06.25)
alexander-zverev,2013,"Right-Handed,Two-HandedBackhand",(198cm),198,(1997.04.20)
alejandro-falla,2000,"Left-Handed,Two-HandedBackhand",(185cm),169,(1983.11.14)
albert-montanes,1999,"Right-Handed,One-HandedBackhand",(175cm),155,(1980.11.26)
marsel-ilhan,2006,"Right-Handed,Two-HandedBackhand",(191cm),176,(1987.06.11)
tim-smyczek,2006,"Right-Handed,Two-HandedBackhand",(175cm),160,(1987.12.30)
jo-wilfried-tsonga,2004,"Right-Handed,Two-HandedBackhand",(188cm),205,(1985.04.17)
philipp-kohlschreiber,2001,"Right-Handed,One-HandedBackhand",(178cm),154,(1983.10.16)
gilles-simon,2002,"Right-Handed,Two-HandedBackhand",(183cm),154,(1984.12.27)
andre-ghem,2003,"Right-Handed,UnknownBackhand",(193cm),190,(1982.05.29)
andrey-golubev,2005,"Right-Handed,One-HandedBackhand",(180cm),169,(1987.07.22)
rajeev-ram,2004,"Right-Handed,One-HandedBackhand",(193cm),185,(1984.03.18)
james-duckworth,2010,"Right-Handed,Two-HandedBackhand",(183cm),181,(1992.01.21)
lukasz-kubot,2002,"Right-Handed,Two-HandedBackhand",(191cm),194,(1982.05.16)
ricardas-berankis,2007,"Right-Handed,Two-HandedBackhand",(175cm),170,(1990.06.21)
ivan-dodig,2004,"Right-Handed,Two-HandedBackhand",(183cm),179,(1985.01.02)
potito-starace,2001,"Right-Handed,Two-HandedBackhand",(188cm),185,(1981.07.14)
adrian-mannarino,2004,"Left-Handed,Two-HandedBackhand",(180cm),174,(1988.06.29)
illya-marchenko,2006,"Right-Handed,Two-HandedBackhand",(185cm),191,(1987.09.08)
dominic-thiem,2011,"Right-Handed,One-HandedBackhand",(185cm),174,(1993.09.03)
nicolas-almagro,2003,"Right-Handed,One-HandedBackhand",(183cm),190,(1985.08.21)
fabio-fognini,2004,"Right-Handed,Two-HandedBackhand",(178cm),174,(1987.05.24)
marinko-matosevic,2003,"Right-Handed,Two-HandedBackhand",(193cm),190,(1985.08.08)
simone-bolelli,2003,"Right-Handed,One-HandedBackhand",(183cm),182,(1985.10.08)
novak-djokovic,2003,"Right-Handed,Two-HandedBackhand",(188cm),170,(1987.05.22)
guido-pella,2007,"Left-Handed,Two-HandedBackhand",(183cm),174,(1990.05.17)
dustin-brown,2002,"Right-Handed,Two-HandedBackhand",(196cm),172,(1984.12.08)
lukas-rosol,2004,"Right-Handed,Two-HandedBackhand",(193cm),182,(1985.07.24)
alejandro-gonzalez,2006,"Right-Handed,Two-HandedBackhand",(191cm),182,(1989.02.07)
blaz-rola,2013,"Left-Handed,Two-HandedBackhand",(193cm),187,(1990.10.05)
luca-vanni,"
","Right-Handed,Two-HandedBackhand",(198cm),207,(1985.06.04)
guido-andreozzi,2010,"Right-Handed,Two-HandedBackhand",(183cm),172,(1991.08.05)
martin-klizan,2007,"Left-Handed,Two-HandedBackhand",(191cm),187,(1989.07.11)
horacio-zeballos,2003,"Left-Handed,One-HandedBackhand",(188cm),185,(1985.04.27)
john-patrick-smith,2012,"Left-Handed,Two-HandedBackhand",(188cm),185,(1989.01.24)
lukas-lacko,2005,"Right-Handed,Two-HandedBackhand",(188cm),192,(1987.11.03)
ivo-karlovic,2000,"Right-Handed,One-HandedBackhand",(211cm),230,(1979.02.28)
hans-podlipnik-castillo,2005,"Right-Handed,One-HandedBackhand",(183cm),172,(1988.01.09)
julien-benneteau,2000,"Right-Handed,Two-HandedBackhand",(185cm),174,(1981.12.20)
thanasi-kokkinakis,2013,"Right-Handed,Two-HandedBackhand",(193cm),185,(1996.04.10)
donald-young,2004,"Left-Handed,Two-HandedBackhand",(183cm),175,(1989.07.23)
kimmer-coppejans,2012,"Right-Handed,Two-HandedBackhand",(180cm),150,(1994.02.07)
denis-istomin,2004,"Right-Handed,Two-HandedBackhand",(185cm),189,(1986.09.07)
jurgen-melzer,1999,"Left-Handed,Two-HandedBackhand",(183cm),176,(1981.05.22)
facundo-arguello,"
","Right-Handed,Two-HandedBackhand",(178cm),170,(1992.08.04)
juan-monaco,2002,"Right-Handed,Two-HandedBackhand",(185cm),179,(1984.03.29)
david-ferrer,2000,"Right-Handed,Two-HandedBackhand",(175cm),161,(1982.04.02)
jan-hernych,1998,"Right-Handed,Two-HandedBackhand",(188cm),182,(1979.07.07)
ante-pavic,"
","Right-Handed,Two-HandedBackhand",(196cm),211,(1989.03.07)
filip-krajinovic,2008,"Right-Handed,Two-HandedBackhand",(185cm),165,(1992.02.27)
miloslav-mecir,"
","Right-Handed,Two-HandedBackhand",(196cm),193,(1988.01.20)
evgeny-donskoy,2007,"Right-Handed,Two-HandedBackhand",(185cm),165,(1990.05.09)
paul-henri-mathieu,1999,"Right-Handed,Two-HandedBackhand",(185cm),163,(1982.01.12)
peter-gojowczyk,2006,"Right-Handed,Two-HandedBackhand",(188cm),183,(1989.07.15)
tommy-haas,1996,"Right-Handed,One-HandedBackhand",(188cm),185,(1978.04.03)
yuichi-sugita,2006,"Right-Handed,Two-HandedBackhand",(175cm),159,(1988.09.18)
jason-kubler,2011,"Right-Handed,Two-HandedBackhand",(178cm),163,(1993.05.19)
andreas-beck,2003,"Left-Handed,Two-HandedBackhand",(191cm),196,(1986.02.05)
dudi-sela,2002,"Right-Handed,One-HandedBackhand",(175cm),144,(1985.04.04)
andrej-martin,2007,"Right-Handed,Two-HandedBackhand",(183cm),183,(1989.09.20)
paolo-lorenzi,2003,"Right-Handed,Two-HandedBackhand",(183cm),172,(1981.12.15)
teymuraz-gabashvili,2001,"Right-Handed,Two-HandedBackhand",(185cm),191,(1985.05.23)
