url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money
/en/tournaments/adelaide/7308/overview,Adelaide,1990.01.01,32,Outdoor,Hard,"$150,000"
/en/tournaments/wellington/354/overview,Wellington,1990.01.01,32,Outdoor,Hard,"$150,000"
/en/tournaments/sydney/338/overview,Sydney,1990.01.08,32,Outdoor,Hard,"$175,000"
/en/tournaments/auckland/301/overview,Auckland,1990.01.08,32,Outdoor,Hard,"$150,000"
/en/tournaments/australian-open/580/overview,Melbourne,1990.01.15,128,Outdoor,Hard,"$1,462,000"
/en/tournaments/milan/408/overview,Milan,1990.02.05,32,Indoor,Carpet,"$600,000"
/en/tournaments/san-francisco/424/overview,San Francisco,1990.02.05,32,Indoor,Carpet,"$250,000"
/en/tournaments/guaruja/201/overview,Guaruja,1990.02.05,32,Outdoor,Hard,"$150,000"
/en/tournaments/toronto/302/overview,Toronto,1990.02.12,56,Indoor,Carpet,"$1,200,000"
/en/tournaments/brussels/406/overview,Brussels,1990.02.12,32,Indoor,Carpet,"$600,000"
/en/tournaments/philadelphia/401/overview,Philadelphia,1990.02.19,48,Indoor,Carpet,"$1,000,000"
/en/tournaments/stuttgart/357/overview,Stuttgart,1990.02.19,32,Indoor,Carpet,"$1,000,000"
/en/tournaments/rotterdam/407/overview,Rotterdam,1990.02.26,32,Indoor,Carpet,"$500,000"
/en/tournaments/memphis/402/overview,Memphis,1990.02.26,48,Indoor,Hard,"$250,000"
/en/tournaments/indian-wells/404/overview,Indian Wells,1990.03.05,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/casablanca/360/overview,Casablanca,1990.03.05,32,Outdoor,Clay,"$150,000"
/en/tournaments/miami/403/overview,Miami,1990.03.16,96,Outdoor,Hard,"$1,500,000"
/en/tournaments/estoril/468/overview,Estoril,1990.04.02,32,Outdoor,Clay,"$250,000"
/en/tournaments/orlando/409/overview,Orlando,1990.04.02,32,Outdoor,Hard,"$250,000"
/en/tournaments/rio-de-janeiro/215/overview,Rio de Janeiro,1990.04.02,32,Outdoor,Carpet,"$250,000"
/en/tournaments/tokyo/329/overview,Tokyo,1990.04.09,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/barcelona/425/overview,Barcelona,1990.04.09,56,Outdoor,Clay,"$500,000"
/en/tournaments/nice/6120/overview,Nice,1990.04.16,32,Outdoor,Clay,"$250,000"
/en/tournaments/seoul/434/overview,Seoul,1990.04.16,32,Outdoor,Hard,"$165,000"
/en/tournaments/monte-carlo/410/overview,Monte Carlo,1990.04.23,56,Outdoor,Clay,"$1,000,000"
/en/tournaments/hong-kong/336/overview,Hong Kong,1990.04.23,32,Outdoor,Hard,"$210,000"
/en/tournaments/madrid/309/overview,Madrid,1990.04.30,32,Outdoor,Clay,"$310,000"
/en/tournaments/munich/308/overview,Munich,1990.04.30,32,Outdoor,Clay,"$250,000"
/en/tournaments/singapore/456/overview,Singapore,1990.04.30,32,Outdoor,Hard,"$250,000"
/en/tournaments/hamburg/414/overview,Hamburg,1990.05.07,56,Outdoor,Clay,"$1,000,000"
/en/tournaments/kiawah-island/717/overview,Kiawah Island,1990.05.07,32,Outdoor,Clay,"$230,000"
/en/tournaments/rome/416/overview,Rome,1990.05.14,64,Outdoor,Clay,"$1,280,000"
/en/tournaments/umag/439/overview,Umag,1990.05.14,32,Outdoor,Clay,"$175,000"
/en/tournaments/dusseldorf/615/overview,Dusseldorf,1990.05.21,24,Outdoor,Clay,"$1,500,000"
/en/tournaments/bologna/312/overview,Bologna,1990.05.21,32,Outdoor,Clay,"$250,000"
/en/tournaments/roland-garros/520/overview,Paris,1990.05.28,128,Outdoor,Clay,"$2,700,000"
/en/tournaments/london/311/overview,London,1990.06.11,56,Outdoor,Grass,"$500,000"
/en/tournaments/florence/310/overview,Florence,1990.06.11,32,Outdoor,Clay,"$250,000"
/en/tournaments/rosmalen/440/overview,Rosmalen,1990.06.11,32,Outdoor,Grass,"$250,000"
/en/tournaments/genoa/306/overview,Genoa,1990.06.18,32,Outdoor,Clay,"$250,000"
/en/tournaments/manchester/7310/overview,Manchester,1990.06.18,32,Outdoor,Grass,"$250,000"
/en/tournaments/wimbledon/540/overview,London,1990.06.25,128,Outdoor,Grass,"$2,670,863"
/en/tournaments/gstaad/314/overview,Gstaad,1990.07.09,32,Outdoor,Clay,"$305,000"
/en/tournaments/bastad/316/overview,Bastad,1990.07.09,32,Outdoor,Clay,"$250,000"
/en/tournaments/newport/315/overview,Newport,1990.07.09,32,Outdoor,Grass,"$175,000"
/en/tournaments/stuttgart/321/overview,Stuttgart,1990.07.16,48,Outdoor,Clay,"$1,000,000"
/en/tournaments/washington/418/overview,Washington,1990.07.16,56,Outdoor,Hard,"$550,000"
/en/tournaments/toronto/421/overview,Toronto,1990.07.23,56,Outdoor,Hard,"$1,200,000"
/en/tournaments/hilversum/317/overview,Hilversum,1990.07.23,32,Outdoor,Clay,"$240,000"
/en/tournaments/kitzbuhel/319/overview,Kitzbuhel,1990.07.30,48,Outdoor,Clay,"$375,000"
/en/tournaments/los-angeles/423/overview,Los Angeles,1990.07.30,32,Outdoor,Hard,"$250,000"
/en/tournaments/san-remo/366/overview,San Remo,1990.07.30,32,Outdoor,Clay,"$250,000"
/en/tournaments/cincinnati/422/overview,Cincinnati,1990.08.06,56,Outdoor,Hard,"$1,300,000"
/en/tournaments/prague/379/overview,Prague,1990.08.06,32,Outdoor,Clay,"$176,000"
/en/tournaments/indianapolis/419/overview,Indianapolis,1990.08.13,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/new-haven/420/overview,New Haven,1990.08.13,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/long-island/441/overview,Long Island,1990.08.20,28,Outdoor,Hard,"$250,000"
/en/tournaments/san-marino/475/overview,San Marino,1990.08.20,32,Outdoor,Clay,"$150,000"
/en/tournaments/schenectady/224/overview,Schenectady,1990.08.20,28,Outdoor,Hard,"$150,000"
/en/tournaments/us-open/560/overview,New York,1990.08.27,128,Outdoor,Hard,"$2,554,250"
/en/tournaments/bordeaux/323/overview,Bordeaux,1990.09.10,32,Outdoor,Clay,"$300,000"
/en/tournaments/geneva/322/overview,Geneva,1990.09.10,32,Outdoor,Clay,"$250,000"
/en/tournaments/basel/328/overview,Basel,1990.09.24,32,Indoor,Hard,"$500,000"
