tournament_name,tournament_date,round,winner_name,loser_name,score
Monte Carlo,1990.04.23,Final,Andrey Rublev,Holger Rune,57-62-75
Monte Carlo,1990.04.23,Semifinals,Andrey Rublev,Taylor Fritz,57-62-75
Monte Carlo,1990.04.23,Semifinals,Holger Rune,Jannik Sinner,57-61-63
Monte Carlo,1990.04.23,Quarterfinals,Taylor Fritz,Stefanos Tsitsipas,57-62-75
Monte Carlo,1990.04.23,Quarterfinals,Holger Rune,Daniil Medvedev,57-61-63
Monte Carlo,1990.04.23,Quarterfinals,Andrey Rublev,Jan-Lennard Struff,16-75-75
Monte Carlo,1990.04.23,Quarterfinals,Jannik Sinner,Lorenzo Musetti,62-64
Monte Carlo,1990.04.23,Round of 16,Lorenzo Musetti,Novak Djokovic,57-62-75
Monte Carlo,1990.04.23,Round of 16,Stefanos Tsitsipas,Nicolas Jarry,57-61-63
Monte Carlo,1990.04.23,Round of 16,Daniil Medvedev,Alexander Zverev,16-75-75
Monte Carlo,1990.04.23,Round of 16,Jan-Lennard Struff,Casper Ruud,62-64
Monte Carlo,1990.04.23,Round of 16,Andrey Rublev,Karen Khachanov,63-64
Monte Carlo,1990.04.23,Round of 16,Holger Rune,Matteo Berrettini,61-765
Monte Carlo,1990.04.23,Round of 16,Jannik Sinner,Hubert Hurkacz,62-62
Monte Carlo,1990.04.23,Round of 16,Taylor Fritz,Jiri Lehecka,46-75-64
Monte Carlo,1990.04.23,Round of 32,Novak Djokovic,Ivan Gakhov,57-62-75
Monte Carlo,1990.04.23,Round of 32,Stefanos Tsitsipas,Benjamin Bonzi,57-61-63
Monte Carlo,1990.04.23,Round of 32,Daniil Medvedev,Lorenzo Sonego,16-75-75
Monte Carlo,1990.04.23,Round of 32,Casper Ruud,Botic van de Zandschulp,62-64
Monte Carlo,1990.04.23,Round of 32,Andrey Rublev,Jaume Munar,63-64
Monte Carlo,1990.04.23,Round of 32,Holger Rune,Dominic Thiem,61-765
Monte Carlo,1990.04.23,Round of 32,Jannik Sinner,Diego Schwartzman,62-62
Monte Carlo,1990.04.23,Round of 32,Taylor Fritz,Stan Wawrinka,46-75-64
Monte Carlo,1990.04.23,Round of 32,Karen Khachanov,Ilya Ivashka,63-64
Monte Carlo,1990.04.23,Round of 32,Hubert Hurkacz,Jack Draper,36-75-767
Monte Carlo,1990.04.23,Round of 32,Alexander Zverev,Roberto Bautista Agut,61-766
Monte Carlo,1990.04.23,Round of 32,Jan-Lennard Struff,Alex de Minaur,764-62
Monte Carlo,1990.04.23,Round of 32,Lorenzo Musetti,Luca Nardi,(W/O)
Monte Carlo,1990.04.23,Round of 32,Matteo Berrettini,Francisco Cerundolo,36-766-61
Monte Carlo,1990.04.23,Round of 32,Nicolas Jarry,Alexei Popyrin,46-64-61
Monte Carlo,1990.04.23,Round of 32,Jiri Lehecka,Grigor Dimitrov,765-62
Monte Carlo,1990.04.23,Round of 64,Karen Khachanov,Alejandro Davidovich Fokina,57-62-75
Monte Carlo,1990.04.23,Round of 64,Hubert Hurkacz,Laslo Djere,57-61-63
Monte Carlo,1990.04.23,Round of 64,Francisco Cerundolo,Cameron Norrie,16-75-75
Monte Carlo,1990.04.23,Round of 64,Alexander Zverev,Alexander Bublik,62-64
Monte Carlo,1990.04.23,Round of 64,Alex de Minaur,Andy Murray,63-64
Monte Carlo,1990.04.23,Round of 64,Nicolas Jarry,Borna Coric,61-765
Monte Carlo,1990.04.23,Round of 64,Lorenzo Musetti,Miomir Kecmanovic,62-62
Monte Carlo,1990.04.23,Round of 64,Roberto Bautista Agut,Filip Krajinovic,46-75-64
Monte Carlo,1990.04.23,Round of 64,Matteo Berrettini,Maxime Cressy,63-64
Monte Carlo,1990.04.23,Round of 64,Benjamin Bonzi,Bernabe Zapata Miralles,36-75-767
Monte Carlo,1990.04.23,Round of 64,Grigor Dimitrov,Ben Shelton,61-766
Monte Carlo,1990.04.23,Round of 64,Jack Draper,Sebastian Baez,764-62
Monte Carlo,1990.04.23,Round of 64,Ivan Gakhov,Mackenzie McDonald,(W/O)
Monte Carlo,1990.04.23,Round of 64,Ilya Ivashka,Daniel Evans,36-766-61
Monte Carlo,1990.04.23,Round of 64,Jiri Lehecka,Emil Ruusuvuori,46-64-61
Monte Carlo,1990.04.23,Round of 64,Jaume Munar,Marc-Andrea Huesler,765-62
Monte Carlo,1990.04.23,Round of 64,Luca Nardi,Valentin Vacherot,41-(RET)
Monte Carlo,1990.04.23,Round of 64,Alexei Popyrin,Dusan Lajovic,63-62
Monte Carlo,1990.04.23,Round of 64,Diego Schwartzman,David Goffin,75-761
Monte Carlo,1990.04.23,Round of 64,Lorenzo Sonego,Ugo Humbert,46-62-62
Monte Carlo,1990.04.23,Round of 64,Jan-Lennard Struff,Albert Ramos-Vinolas,62-64
Monte Carlo,1990.04.23,Round of 64,Dominic Thiem,Richard Gasquet,60-31-(RET)
Monte Carlo,1990.04.23,Round of 64,Botic van de Zandschulp,Marton Fucsovics,7610-62
Monte Carlo,1990.04.23,Round of 64,Stan Wawrinka,Tallon Griekspoor,762-62
Monte Carlo,1990.04.23,2nd Round Qualifying,Jan-Lennard Struff,Emil Ruusuvuori,57-62-75
Monte Carlo,1990.04.23,2nd Round Qualifying,Ugo Humbert,Dusan Lajovic,57-61-63
Monte Carlo,1990.04.23,2nd Round Qualifying,Marton Fucsovics,Filip Krajinovic,16-75-75
Monte Carlo,1990.04.23,2nd Round Qualifying,Ilya Ivashka,Taro Daniel,62-64
Monte Carlo,1990.04.23,2nd Round Qualifying,Luca Nardi,Oscar Otte,63-64
Monte Carlo,1990.04.23,2nd Round Qualifying,Ivan Gakhov,Luca Van Assche,61-765
Monte Carlo,1990.04.23,2nd Round Qualifying,Alexei Popyrin,Benoit Paire,62-62
Monte Carlo,1990.04.23,1st Round Qualifying,Emil Ruusuvuori,Hugo Nys,57-62-75
Monte Carlo,1990.04.23,1st Round Qualifying,Ivan Gakhov,Adrian Mannarino,57-61-63
Monte Carlo,1990.04.23,1st Round Qualifying,Benoit Paire,Gregoire Barrere,16-75-75
Monte Carlo,1990.04.23,1st Round Qualifying,Luca Nardi,Constant Lestienne,62-64
Monte Carlo,1990.04.23,1st Round Qualifying,Dusan Lajovic,Joao Sousa,63-64
Monte Carlo,1990.04.23,1st Round Qualifying,Marton Fucsovics,Giulio Zeppieri,61-765
