player_name,ranking,date
Ivan Lendl,1,1990-01-01
Boris Becker,2,1990-01-01
Stefan Edberg,3,1990-01-01
Brad Gilbert,4,1990-01-01
John McEnroe,5,1990-01-01
Michael Chang,6,1990-01-01
Aaron Krickstein,7,1990-01-01
Andre Agassi,8,1990-01-01
Jay Berger,9,1990-01-01
Alberto Mancini,10,1990-01-01
Martin Jaite,11,1990-01-01
Tim Mayotte,12,1990-01-01
Yannick Noah,13,1990-01-01
Carl-Uwe Steeb,14,1990-01-01
Mats Wilander,15,1990-01-01
Andrei Chesnokov,16,1990-01-01
Emilio Sanchez,17,1990-01-01
Andres Gomez,18,1990-01-01
Jimmy Connors,19,1990-01-01
Horst Skoff,20,1990-01-01
Kevin Curren,21,1990-01-01
Sergi Bruguera,22,1990-01-01
Jim Courier,23,1990-01-01
Thomas Muster,24,1990-01-01
Miloslav Mecir Sr.,25,1990-01-01
Jaime Yzaga,26,1990-01-01
Jan Gunnarsson,27,1990-01-01
Christo Van Rensburg,28,1990-01-01
Jakob Hlasek,29,1990-01-01
Goran Ivanisevic,30,1990-01-01
Guillermo Perez-Roldan,31,1990-01-01
Magnus Gustafsson,32,1990-01-01
Jim Grabb,33,1990-01-01
Jordi Arrese,34,1990-01-01
Paolo Cane,35,1990-01-01
Wally Masur,36,1990-01-01
Ronald Agenor,37,1990-01-01
Scott Davis,38,1990-01-01
Amos Mansdorf,39,1990-01-01
Marcelo Filippini,40,1990-01-01
Anders Jarryd,41,1990-01-01
Jonas Svensson,42,1990-01-01
Goran Prpic,43,1990-01-01
Luiz Mattar,44,1990-01-01
Javier Sanchez,45,1990-01-01
David Wheaton,46,1990-01-01
Darren Cahill,47,1990-01-01
Richey Reneberg,48,1990-01-01
Paul Chamberlin,49,1990-01-01
Paul Annacone,50,1990-01-01
Eric Jelen,51,1990-01-01
Jimmy Arias,52,1990-01-01
Kelly Evernden,53,1990-01-01
Omar Camporese,54,1990-01-01
Guy Forget,55,1990-01-01
Pete Sampras,56,1990-01-01
Jean-Philippe Fleurian,57,1990-01-01
Todd Witsken,58,1990-01-01
Jim Pugh,59,1990-01-01
Martin Strelba,60,1990-01-01
Karel Novacek,61,1990-01-01
Tomas Carbonell,62,1990-01-01
Mikael Pernfors,63,1990-01-01
Mark Koevermans,64,1990-01-01
Alexander Volkov,65,1990-01-01
Niclas Kroon,66,1990-01-01
Michiel Schapers,67,1990-01-01
Marc Rosset,68,1990-01-01
Juan Aguilera,69,1990-01-01
Lawson Duncan,70,1990-01-01
Andrew Sznajder,71,1990-01-01
Jens Woehrmann,72,1990-01-01
Ramesh Krishnan,73,1990-01-01
Dan Goldie,74,1990-01-01
Glenn Layendecker,75,1990-01-01
Jerome Potier,76,1990-01-01
Paul Haarhuis,77,1990-01-01
Jeremy Bates,78,1990-01-01
Franco Davin,79,1990-01-01
Derrick Rostagno,80,1990-01-01
Petr Korda,81,1990-01-01
Johan Kriek,82,1990-01-01
Slobodan Zivojinovic,83,1990-01-01
Jimmy Brown,84,1990-01-01
Michael Stich,85,1990-01-01
Richard Matuszewski,86,1990-01-01
Milan Srejber,87,1990-01-01
Richard Fromberg,88,1990-01-01
Andrei Cherkasov,89,1990-01-01
Nicolas Pereira,90,1990-01-01
Leif Shiras,91,1990-01-01
Robert Seguso,92,1990-01-01
Tom Nijssen,93,1990-01-01
Alex Antonitsch,94,1990-01-01
Lars-Anders Wahlgren,95,1990-01-01
Gilad Bloom,96,1990-01-01
Peter Lundgren,97,1990-01-01
Mark Woodforde,98,1990-01-01
Pieter Aldrich,99,1990-01-01
Christian Bergstrom,100,1990-01-01
Johan Anderson,101,1990-01-01
Diego Perez,102,1990-01-01
John Fitzgerald,103,1990-01-01
Udo Riglewski,104,1990-01-01
Jason Stoltenberg,105,1990-01-01
Claudio Pistolesi,106,1990-01-01
Francesco Cancellotti,107,1990-01-01
Marian Vajda,108,1990-01-01
Cassio Motta,109,1990-01-01
Tim Wilkison,110,1990-01-01
Grant Connell,111,1990-01-01
Michael Tauson,112,1990-01-01
Mark Kratzmann,113,1990-01-01
Eduardo Bengoechea,114,1990-01-01
Andres Vysand,115,1990-01-01
Kelly Jones,116,1990-01-01
Patrik Kuhnen,117,1990-01-01
Thierry Tulasne,118,1990-01-01
Bruno Oresar,119,1990-01-01
Veli Paloheimo,120,1990-01-01
Martin Laurendeau,121,1990-01-01
Fernando Luna,122,1990-01-01
Horacio de la Pena,123,1990-01-01
Jose Francisco Altur,124,1990-01-01
Lars Jonsson,125,1990-01-01
Gary Muller,126,1990-01-01
Francisco Roig,127,1990-01-01
Roberto Azar,128,1990-01-01
Olivier Delaitre,129,1990-01-01
Diego Nargiso,130,1990-01-01
Markus Zoecke,131,1990-01-01
Thomas Hogstedt,132,1990-01-01
David Pate,133,1990-01-01
Broderick Dyke,134,1990-01-01
Leonardo Lavalle,135,1990-01-01
Nicklas Kulti,136,1990-01-01
Christian Saceanu,137,1990-01-01
Martin Wostenholme,138,1990-01-01
Eric Winogradsky,139,1990-01-01
Joey Rive,140,1990-01-01
Dan Cassidy,141,1990-01-01
Tarik Benhabiles,142,1990-01-01
Brad Drewett,143,1990-01-01
Henri Leconte,144,1990-01-01
Chris Pridham,145,1990-01-01
Simon Youl,146,1990-01-01
Gianluca Pozzi,147,1990-01-01
Simone Colombo,148,1990-01-01
Brad Pearce,149,1990-01-01
Marty Davis,150,1990-01-01
Todd Woodbridge,151,1990-01-01
Massimo Cierro,152,1990-01-01
Javier Frana,153,1990-01-01
Bong-Soo Kim,154,1990-01-01
Jeff Tarango,155,1990-01-01
Gustavo Giussani,156,1990-01-01
Nuno Marques,157,1990-01-01
Johan Carlsson,158,1990-01-01
Danie Visser,159,1990-01-01
Steve Guy,160,1990-01-01
Aki Rahunen,161,1990-01-01
Miguel Nido,162,1990-01-01
Alexander Mronz,163,1990-01-01
Mario Tabares,164,1990-01-01
Magnus Larsson,165,1990-01-01
Roberto Arguello,166,1990-01-01
Jose-Luis Aparisi,167,1990-01-01
Chris Bailey,168,1990-01-01
Jonathan Canter,169,1990-01-01
Neil Broad,170,1990-01-01
Nick Brown,171,1990-01-01
Ricki Osterthun,172,1990-01-01
Danilo Marcelino,173,1990-01-01
Joao Cunha-Silva,174,1990-01-01
Sergio Casal,175,1990-01-01
Nicklas Utgren,176,1990-01-01
Philip Johnson,177,1990-01-01
Philippe Pech,178,1990-01-01
Peter Ballauff,179,1990-01-01
Fernando Roese,180,1990-01-01
Robbie Weiss,181,1990-01-01
Bart Wuyts,182,1990-01-01
Karsten Braasch,183,1990-01-01
Mauro Menezes,184,1990-01-01
Richard Vogel,185,1990-01-01
Peter Doohan,186,1990-01-01
Neil Borwick,187,1990-01-01
Bruce Derlin,188,1990-01-01
Bryan Shelton,189,1990-01-01
Nduka Odizor,190,1990-01-01
Paul Vojtischek,191,1990-01-01
David Engel,192,1990-01-01
Claudio Mezzadri,193,1990-01-01
Christian Miniussi,194,1990-01-01
Mark Kaplan,195,1990-01-01
Michael Robertson,196,1990-01-01
Francisco Yunis,197,1990-01-01
Olivier Soules,198,1990-01-01
Gabriel Markus,199,1990-01-01
Josef Cihak,200,1990-01-01
Ivan Lendl,1,1990-01-08
Boris Becker,2,1990-01-08
Stefan Edberg,3,1990-01-08
Brad Gilbert,4,1990-01-08
John McEnroe,5,1990-01-08
Michael Chang,6,1990-01-08
Aaron Krickstein,7,1990-01-08
Andre Agassi,8,1990-01-08
Jay Berger,9,1990-01-08
Alberto Mancini,10,1990-01-08
Martin Jaite,11,1990-01-08
Tim Mayotte,12,1990-01-08
Yannick Noah,13,1990-01-08
Carl-Uwe Steeb,14,1990-01-08
Mats Wilander,15,1990-01-08
Andrei Chesnokov,16,1990-01-08
Emilio Sanchez,17,1990-01-08
Andres Gomez,18,1990-01-08
Jimmy Connors,19,1990-01-08
Horst Skoff,20,1990-01-08
Kevin Curren,21,1990-01-08
Sergi Bruguera,22,1990-01-08
Jim Courier,23,1990-01-08
Thomas Muster,24,1990-01-08
Miloslav Mecir Sr.,25,1990-01-08
Jaime Yzaga,26,1990-01-08
Jan Gunnarsson,27,1990-01-08
Christo Van Rensburg,28,1990-01-08
Jakob Hlasek,29,1990-01-08
Goran Ivanisevic,30,1990-01-08
Guillermo Perez-Roldan,31,1990-01-08
