Player Name,Turned Pro,Plays,height,weight (lbs),Birthdate
vincent-spadea,1993,"Right-Handed,Two-HandedBackhand",(183cm),170,(1974.07.19)
martin-spottl,1994,"Right-Handed,UnknownBackhand",(180cm),168,(1975.11.23)
christophe-rochus,1996,"Right-Handed,Two-HandedBackhand",(170cm),150,(1978.12.15)
fabrice-santoro,1989,"Right-Handed,Two-HandedBackhand",(178cm),163,(1972.12.09)
thomas-johansson,1994,"Right-Handed,Two-HandedBackhand",(180cm),176,(1975.03.24)
tommy-haas,1996,"Right-Handed,One-HandedBackhand",(188cm),185,(1978.04.03)
oleg-ogorodov,1995,"Right-Handed,UnknownBackhand",(193cm),192,(1972.07.16)
byron-black,1991,"Right-Handed,UnknownBackhand",(175cm),155,(1969.10.06)
petr-kralert,1997,"Right-Handed,UnknownBackhand",(188cm),165,(1979.10.20)
laurence-tieleman,1993,"Right-Handed,UnknownBackhand",(180cm),165,(1972.11.14)
jens-knippschild,1992,"Right-Handed,UnknownBackhand",(191cm),180,(1975.02.15)
alberto-berasategui,1991,"Right-Handed,One-HandedBackhand",(173cm),145,(1973.06.28)
karol-kucera,1992,"Right-Handed,Two-HandedBackhand",(185cm),193,(1974.03.04)
peter-wessels,1996,"Right-Handed,One-HandedBackhand",(196cm),187,(1978.05.07)
mark-woodforde,1984,"Left-Handed,Two-HandedBackhand",(188cm),195,(1965.09.23)
paradorn-srichaphan,1997,"Right-Handed,One-HandedBackhand",(185cm),180,(1979.06.14)
james-sekulov,1995,"Right-Handed,UnknownBackhand",(180cm),160,(1976.10.13)
guillaume-raoux,1989,"Right-Handed,UnknownBackhand",(180cm),170,(1970.02.14)
orlin-stanoytchev,1993,"Right-Handed,UnknownBackhand",(185cm),180,(1971.09.24)
george-bastl,1998,"Right-Handed,UnknownBackhand",(183cm),187,(1975.04.01)
raemon-sluiter,1996,"Right-Handed,Two-HandedBackhand",(185cm),176,(1978.04.13)
gaston-etlis,1993,"Right-Handed,UnknownBackhand",(185cm),168,(1974.11.04)
vladimir-voltchkov,1995,"Right-Handed,UnknownBackhand",(180cm),167,(1978.04.07)
kenneth-carlsen,1992,"Left-Handed,UnknownBackhand",(191cm),194,(1973.04.17)
vadim-kutsenko,1994,"Right-Handed,UnknownBackhand",(180cm),167,(1977.03.16)
thierry-guardiola,1989,"Right-Handed,UnknownBackhand",(188cm),163,(1971.08.07)
lionel-roux,1991,"Right-Handed,UnknownBackhand",(185cm),175,(1973.04.12)
marcelo-filippini,1987,"Right-Handed,UnknownBackhand",(178cm),145,(1967.08.04)
arnaud-di-pasquale,1998,"Right-Handed,One-HandedBackhand",(185cm),176,(1979.02.11)
juan-ignacio-chela,1998,"Right-Handed,Two-HandedBackhand",(191cm),165,(1979.08.30)
kevin-kim,1997,"Right-Handed,One-HandedBackhand",(180cm),165,(1978.07.26)
edwin-kempes,1995,"Right-Handed,UnknownBackhand",(188cm),160,(1976.06.23)
agustin-calleri,1995,"Right-Handed,One-HandedBackhand",(183cm),190,(1976.09.14)
jan-michael-gambill,1996,"Right-Handed,UnknownBackhand",(191cm),195,(1977.06.03)
alex-calatrava,1993,"Right-Handed,One-HandedBackhand",(191cm),181,(1973.06.14)
gustavo-kuerten,1995,"Right-Handed,One-HandedBackhand",(191cm),183,(1976.09.10)
magnus-norman,1995,"Right-Handed,Two-HandedBackhand",(188cm),196,(1976.05.30)
xavier-malisse,1998,"Right-Handed,Two-HandedBackhand",(185cm),183,(1980.07.19)
marcelo-rios,1994,"Left-Handed,Two-HandedBackhand",(175cm),160,(1975.12.26)
olivier-malcor,1994,"Right-Handed,UnknownBackhand",(180cm),150,(1975.01.28)
andrei-pavel,1995,"Right-Handed,UnknownBackhand",(183cm),198,(1974.01.27)
michael-chang,1988,"Right-Handed,Two-HandedBackhand",(175cm),160,(1972.02.22)
gaston-gaudio,1996,"Right-Handed,One-HandedBackhand",(175cm),155,(1978.12.09)
sargis-sargsian,1995,"Right-Handed,UnknownBackhand",(180cm),165,(1973.06.03)
yevgeny-kafelnikov,1992,"Right-Handed,Two-HandedBackhand",(191cm),185,(1974.02.18)
slava-dosedel,1989,"Right-Handed,UnknownBackhand",(183cm),175,(1970.08.14)
eduardo-nicolas,1992,"Right-Handed,UnknownBackhand",(173cm),157,(1972.09.22)
richard-fromberg,1988,"Right-Handed,UnknownBackhand",(196cm),195,(1970.04.28)
sebastien-lareau,1991,"Right-Handed,Two-HandedBackhand",(183cm),175,(1973.04.27)
max-mirnyi,1994,"Right-Handed,One-HandedBackhand",(196cm),205,(1977.07.06)
werner-eschauer,1998,"Right-Handed,Two-HandedBackhand",(188cm),167,(1974.04.26)
mark-philippoussis,1994,"Right-Handed,One-HandedBackhand",(196cm),226,(1976.11.07)
tomas-zib,1995,"Right-Handed,Two-HandedBackhand",(178cm),167,(1976.01.31)
bob-bryan,1998,"Left-Handed,One-HandedBackhand",(193cm),195,(1978.04.29)
mariano-puerta,1998,"Left-Handed,One-HandedBackhand",(180cm),172,(1978.09.19)
alex-o'brien,1992,"Right-Handed,UnknownBackhand",(185cm),195,(1970.03.07)
petr-luxa,1993,"Right-Handed,UnknownBackhand",(191cm),187,(1972.03.03)
oliver-gross,1993,"Right-Handed,UnknownBackhand",(185cm),170,(1973.06.17)
rainer-schuettler,1995,"Right-Handed,Two-HandedBackhand",(180cm),163,(1976.04.25)
jiri-vanek,1995,"Right-Handed,Two-HandedBackhand",(185cm),190,(1978.04.24)
emilio-benfele-alvarez,1989,"Right-Handed,UnknownBackhand",(183cm),188,(1972.11.15)
adrian-voinea,1993,"Right-Handed,One-HandedBackhand",(185cm),160,(1974.08.06)
ivan-ljubicic,1998,"Right-Handed,One-HandedBackhand",(193cm),202,(1979.03.19)
bernd-karbacher,1989,"Right-Handed,UnknownBackhand",(185cm),160,(1968.04.03)
antony-dupuis,1992,"Right-Handed,UnknownBackhand",(185cm),192,(1973.02.24)
todd-martin,1990,"Right-Handed,Two-HandedBackhand",(198cm),200,(1970.07.08)
patrick-rafter,1991,"Right-Handed,One-HandedBackhand",(185cm),190,(1972.12.28)
michal-tabara,1997,"Right-Handed,Two-HandedBackhand",(175cm),162,(1979.08.11)
nicolas-lapentti,1995,"Right-Handed,Two-HandedBackhand",(188cm),190,(1976.08.13)
thomas-enqvist,1991,"Right-Handed,Two-HandedBackhand",(191cm),195,(1974.03.13)
jason-stoltenberg,1987,"Right-Handed,UnknownBackhand",(185cm),177,(1970.04.04)
juan-albert-viloca-puig,1992,"Right-Handed,One-HandedBackhand",(185cm),167,(1973.01.17)
roberto-carretero,1993,"Right-Handed,UnknownBackhand",(178cm),200,(1975.08.30)
david-prinosil,1991,"Right-Handed,UnknownBackhand",(185cm),180,(1973.03.09)
fernando-meligeni,1990,"Left-Handed,UnknownBackhand",(180cm),142,(1971.04.12)
albert-portas,1994,"Right-Handed,Two-HandedBackhand",(188cm),172,(1973.11.15)
franco-squillari,1994,"Left-Handed,One-HandedBackhand",(183cm),177,(1975.08.22)
michel-kratochvil,1997,"Right-Handed,UnknownBackhand",(185cm),170,(1979.04.07)
juan-carlos-ferrero,1998,"Right-Handed,Two-HandedBackhand",(183cm),160,(1980.02.12)
magnus-gustafsson,1986,"Right-Handed,UnknownBackhand",(185cm),172,(1967.01.03)
stephane-huet,1990,"Left-Handed,UnknownBackhand",(180cm),160,(1971.04.25)
francisco-clavet,1988,"Left-Handed,UnknownBackhand",(183cm),156,(1968.10.24)
pete-sampras,1988,"Right-Handed,One-HandedBackhand",(185cm),170,(1971.08.12)
mariano-zabaleta,1996,"Right-Handed,One-HandedBackhand",(183cm),170,(1978.02.28)
stefano-pescosolido,1989,"Right-Handed,UnknownBackhand",(185cm),190,(1971.06.13)
goran-ivanisevic,1988,"Left-Handed,Two-HandedBackhand",(193cm),180,(1971.09.13)
ville-liukko,1995,"Right-Handed,UnknownBackhand",(173cm),157,(1974.05.24)
cecil-mamiit,1996,"Right-Handed,UnknownBackhand",(173cm),155,(1976.06.27)
john-van-lottum,1994,"Right-Handed,UnknownBackhand",(185cm),159,(1976.04.10)
jacobo-diaz,1995,"Right-Handed,UnknownBackhand",(173cm),160,(1976.07.11)
federico-browne,1994,"Right-Handed,UnknownBackhand",(180cm),180,(1976.04.07)
chris-woodruff,1993,"Right-Handed,UnknownBackhand",(188cm),180,(1973.01.02)
jan-siemerink,1989,"Left-Handed,UnknownBackhand",(183cm),162,(1970.04.14)
kevin-ullyett,1990,"Right-Handed,UnknownBackhand",(178cm),170,(1972.05.23)
guillermo-canas,1995,"Right-Handed,Two-HandedBackhand",(185cm),190,(1977.11.25)
tuomas-ketola,1994,"Right-Handed,UnknownBackhand",(185cm),170,(1975.02.21)
richard-krajicek,1989,"Right-Handed,One-HandedBackhand",(196cm),209,(1971.12.06)
andrei-medvedev,1991,"Right-Handed,UnknownBackhand",(193cm),200,(1974.08.31)
wayne-black,1994,"Right-Handed,UnknownBackhand",(170cm),155,(1973.11.14)
juan-antonio-marin,1996,"Right-Handed,Two-HandedBackhand",(175cm),162,(1975.03.02)
davide-sanguinetti,1993,"Right-Handed,Two-HandedBackhand",(188cm),175,(1972.08.25)
david-miketa,1993,"Right-Handed,UnknownBackhand",(183cm),170,(1975.06.04)
sjeng-schalken,1994,"Right-Handed,One-HandedBackhand",(193cm),181,(1976.09.08)
andrei-stoliarov,1995,"Right-Handed,UnknownBackhand",(178cm),159,(1977.01.09)
jonas-bjorkman,1991,"Right-Handed,Two-HandedBackhand",(183cm),182,(1972.03.23)
vincenzo-santopadre,1991,"Left-Handed,UnknownBackhand",(183cm),168,(1971.08.11)
marc-rosset,1988,"Right-Handed,UnknownBackhand",(201cm),194,(1970.11.07)
markus-hantschk,1996,"Right-Handed,UnknownBackhand",(188cm),187,(1977.11.19)
axel-pretzsch,1996,"Right-Handed,UnknownBackhand",(185cm),175,(1976.06.16)
radek-stepanek,1996,"Right-Handed,Two-HandedBackhand",(185cm),167,(1978.11.27)
igor-gaudi,1993,"Right-Handed,UnknownBackhand",(188cm),168,(1975.04.10)
mikael-tillstrom,1991,"Right-Handed,UnknownBackhand",(185cm),160,(1972.03.05)
paul-haarhuis,1989,"Right-Handed,UnknownBackhand",(188cm),177,(1966.02.19)
julien-boutter,1996,"Right-Handed,UnknownBackhand",(191cm),190,(1974.04.05)
andrei-cherkasov,1988,"Right-Handed,UnknownBackhand",(180cm),165,(1970.07.04)
hernan-gumy,1991,"Right-Handed,UnknownBackhand",(188cm),200,(1972.03.05)
bohdan-ulihrach,1993,"Right-Handed,UnknownBackhand",(188cm),178,(1975.02.23)
christian-ruud,1991,"Right-Handed,UnknownBackhand",(185cm),187,(1972.08.24)
thomas-muster,1985,"Left-Handed,One-HandedBackhand",(180cm),170,(1967.10.02)
wayne-arthurs,1990,"Left-Handed,One-HandedBackhand",(185cm),200,(1971.03.18)
michael-kohlmann,1995,"Right-Handed,UnknownBackhand",(188cm),185,(1974.01.11)
alexander-popp,1997,"Right-Handed,Two-HandedBackhand",(198cm),198,(1976.11.04)
dinu-pescariu,"
","Right-Handed,UnknownBackhand",(185cm),167,(1974.04.12)
marat-safin,1997,"Right-Handed,Two-HandedBackhand",(193cm),195,(1980.01.27)
nicolas-escude,1995,"Right-Handed,UnknownBackhand",(185cm),155,(1976.04.03)
nicolas-kiefer,1995,"Right-Handed,Two-HandedBackhand",(183cm),177,(1977.07.05)
german-puentes,1995,"Right-Handed,UnknownBackhand",(173cm),155,(1972.12.18)
ramon-delgado,1995,"Right-Handed,Two-HandedBackhand",(183cm),176,(1976.11.14)
hendrik-dreekmann,1991,"Right-Handed,UnknownBackhand",(188cm),180,(1975.01.29)
boris-becker,1984,"Right-Handed,UnknownBackhand",(191cm),187,(1967.11.22)
alex-corretja,1991,"Right-Handed,One-HandedBackhand",(180cm),160,(1974.04.11)
mose-navarra,1993,"Left-Handed,UnknownBackhand",(180cm),178,(1974.07.18)
alex-lopez-moron,1990,"Right-Handed,UnknownBackhand",(175cm),155,(1970.11.28)
magnus-larsson,1989,"Right-Handed,UnknownBackhand",(193cm),205,(1970.03.25)
marcos-ondruska,1989,"Right-Handed,Two-HandedBackhand",(183cm),176,(1972.12.18)
harel-levy,1995,"Right-Handed,UnknownBackhand",(185cm),180,(1978.08.05)
francisco-costa,1994,"Right-Handed,UnknownBackhand",(180cm),178,(1973.06.28)
cedric-pioline,1989,"Right-Handed,UnknownBackhand",(188cm),175,(1969.06.15)
cristiano-caratti,1989,"Right-Handed,UnknownBackhand",(178cm),169,(1970.05.24)
lorenzo-manta,1992,"Right-Handed,UnknownBackhand",(191cm),180,(1974.09.16)
ota-fukarek,1995,"Right-Handed,UnknownBackhand",(191cm),172,(1977.01.18)
jerome-golmard,1993,"Left-Handed,UnknownBackhand",(188cm),170,(1973.09.09)
lleyton-hewitt,1998,"Right-Handed,Two-HandedBackhand",(178cm),170,(1981.02.24)
stefan-koubek,1994,"Left-Handed,UnknownBackhand",(175cm),150,(1977.01.02)
gianluca-pozzi,1984,"Left-Handed,UnknownBackhand",(180cm),176,(1965.06.17)
nicolas-massu,1997,"Right-Handed,Two-HandedBackhand",(183cm),177,(1979.10.10)
attila-savolt,1995,"Right-Handed,UnknownBackhand",(183cm),172,(1976.02.05)
younes-el-aynaoui,1990,"Right-Handed,Two-HandedBackhand",(193cm),190,(1971.09.12)
nicklas-kulti,1989,"Right-Handed,UnknownBackhand",(191cm),195,(1971.04.22)
fernando-vicente,1996,"Right-Handed,One-HandedBackhand",(180cm),167,(1977.03.08)
hicham-arazi,1993,"Left-Handed,UnknownBackhand",(175cm),143,(1973.10.19)
herbert-wiltschnig,1995,"Right-Handed,UnknownBackhand",(185cm),175,(1975.11.21)
markus-hipfl,1995,"Right-Handed,UnknownBackhand",(178cm),163,(1978.04.26)
scott-draper,1993,"Left-Handed,One-HandedBackhand",(175cm),171,(1974.06.05)
todd-woodbridge,1988,"Right-Handed,UnknownBackhand",(178cm),165,(1971.04.02)
andre-agassi,1986,"Right-Handed,Two-HandedBackhand",(180cm),177,(1970.04.29)
jimy-szymanski,1994,"Right-Handed,UnknownBackhand",(175cm),170,(1975.09.15)
greg-rusedski,1991,"Left-Handed,UnknownBackhand",(193cm),200,(1973.09.06)
hyung-taik-lee,1995,"Right-Handed,One-HandedBackhand",(180cm),180,(1976.01.03)
gouichi-motomura,1992,"Right-Handed,UnknownBackhand",(173cm),140,(1973.12.25)
tomas-behrend,1994,"Right-Handed,UnknownBackhand",(193cm),196,(1974.12.12)
